2023-09-15 01:49:40.3520|0|INFO|Program|Program initial |url: |action: |Program.<Main>$| body: 
2023-09-15 01:49:40.6840|0|INFO|Microsoft.Hosting.Lifetime|Application started. Press Ctrl+C to shut down. |url: |action: |Microsoft.Extensions.Hosting.Internal.ConsoleLifetime.OnApplicationStarted| body: 
2023-09-15 01:49:40.6840|0|INFO|Microsoft.Hosting.Lifetime|Hosting environment: Development |url: |action: |Microsoft.Extensions.Hosting.Internal.ConsoleLifetime.OnApplicationStarted| body: 
2023-09-15 01:49:40.6840|0|INFO|Microsoft.Hosting.Lifetime|Content root path: C:\AProject\DwellEase\DwellEase.WebAPI |url: |action: |Microsoft.Extensions.Hosting.Internal.ApplicationLifetime.NotifyStarted| body: 
2023-09-15 01:49:52.3584|0|INFO|Microsoft.Hosting.Lifetime|Application is shutting down... |url: |action: |Microsoft.Extensions.Hosting.Internal.ApplicationLifetime.StopApplication| body: 
2023-09-15 03:37:11.7527|0|INFO|Program|Program initial |url: |action: |Program.<Main>$| body: 
2023-09-15 03:37:11.8184|0|INFO|Microsoft.Hosting.Lifetime|Application started. Press Ctrl+C to shut down. |url: |action: |Microsoft.Extensions.Hosting.Internal.ConsoleLifetime.OnApplicationStarted| body: 
2023-09-15 03:37:11.8184|0|INFO|Microsoft.Hosting.Lifetime|Hosting environment: Development |url: |action: |Microsoft.Extensions.Hosting.Internal.ConsoleLifetime.OnApplicationStarted| body: 
2023-09-15 03:37:11.8184|0|INFO|Microsoft.Hosting.Lifetime|Content root path: C:\AProject\DwellEase\DwellEase.WebAPI |url: |action: |Microsoft.Extensions.Hosting.Internal.ApplicationLifetime.NotifyStarted| body: 
2023-09-15 03:37:25.2790|0|INFO|DwellEase.Service.Services.Implementations.ApartmentPageService|Successfully get all apartmentpages |url: https://localhost/ApartmentPage/Get-All|action: GetAllApartmentPages|DwellEase.Service.Services.Implementations.ApartmentPageService.GetApartmentPagesAsync| body: 
2023-09-15 03:37:25.9081|0|INFO|DwellEase.Service.Services.Implementations.ApartmentPageService|Successfully get all apartmentpages |url: https://localhost/ApartmentPage/Get-All|action: GetAllApartmentPages|DwellEase.Service.Services.Implementations.ApartmentPageService.GetApartmentPagesAsync| body: 
2023-09-15 03:37:57.6330|0|INFO|DwellEase.Service.Services.Implementations.ApartmentPageService|Successfully get all apartmentpages |url: https://localhost/ApartmentPage/Get-All|action: GetAllApartmentPages|DwellEase.Service.Services.Implementations.ApartmentPageService.GetApartmentPagesAsync| body: 
2023-09-15 03:37:57.8362|0|INFO|DwellEase.Service.Services.Implementations.ApartmentPageService|Successfully get all apartmentpages |url: https://localhost/ApartmentPage/Get-All|action: GetAllApartmentPages|DwellEase.Service.Services.Implementations.ApartmentPageService.GetApartmentPagesAsync| body: 
2023-09-15 03:43:02.9206|0|INFO|Program|Program initial |url: |action: |Program.<Main>$| body: 
2023-09-15 03:43:03.0144|0|INFO|Microsoft.Hosting.Lifetime|Application started. Press Ctrl+C to shut down. |url: |action: |Microsoft.Extensions.Hosting.Internal.ConsoleLifetime.OnApplicationStarted| body: 
2023-09-15 03:43:03.0144|0|INFO|Microsoft.Hosting.Lifetime|Hosting environment: Development |url: |action: |Microsoft.Extensions.Hosting.Internal.ConsoleLifetime.OnApplicationStarted| body: 
2023-09-15 03:43:03.0144|0|INFO|Microsoft.Hosting.Lifetime|Content root path: C:\AProject\DwellEase\DwellEase.WebAPI |url: |action: |Microsoft.Extensions.Hosting.Internal.ApplicationLifetime.NotifyStarted| body: 
2023-09-15 03:43:06.8362|0|INFO|DwellEase.Service.Services.Implementations.ApartmentPageService|Successfully get all apartmentpages |url: https://localhost/ApartmentPage/Get-All|action: GetAllApartmentPages|DwellEase.Service.Services.Implementations.ApartmentPageService.GetApartmentPagesAsync| body: 
2023-09-15 03:43:06.8362|0|INFO|DwellEase.WebAPI.Controllers.ApartmentPageController|Successfully return all apartmentpages |url: https://localhost/ApartmentPage/Get-All|action: GetAllApartmentPages|DwellEase.WebAPI.Controllers.ApartmentPageController.GetAllApartmentPages| body: 
