2023-11-01 00:26:21.4149|0|ERROR|DwellEase.Service.Services.Implementations.RentalService|Apartmentpages are not found |url: |action: |DwellEase.Service.Services.Implementations.RentalService.CheckAndUpdateApartmentStatus| body: 
2023-11-01 00:31:52.9777|0|ERROR|DwellEase.Service.Services.Implementations.RentalService|Apartmentpages are not found |url: |action: |DwellEase.Service.Services.Implementations.RentalService.CheckAndUpdateApartmentStatus| body: 
2023-11-01 00:32:22.9942|0|ERROR|DwellEase.Service.Services.Implementations.RentalService|Apartmentpages are not found |url: |action: |DwellEase.Service.Services.Implementations.RentalService.CheckAndUpdateApartmentStatus| body: 
2023-11-01 00:32:46.5361|0|ERROR|DwellEase.WebAPI.BackgroundTasks.RentalExpirationWorker|An error occurred during rental expiration check. System.Threading.Tasks.TaskCanceledException: A task was canceled.
   at DwellEase.WebAPI.BackgroundTasks.RentalExpirationWorker.ExecuteAsync(CancellationToken stoppingToken)|url: |action: |DwellEase.WebAPI.BackgroundTasks.RentalExpirationWorker.ExecuteAsync| body: 
2023-11-01 00:32:58.1541|0|ERROR|Program|Program initial |url: |action: |Program.<Main>$| body: 
2023-11-01 00:32:58.2189|0|ERROR|DwellEase.Service.Services.Implementations.RentalService|Apartmentpages are not found |url: |action: |DwellEase.Service.Services.Implementations.RentalService.CheckAndUpdateApartmentStatus| body: 
2023-11-01 00:33:28.2320|0|ERROR|DwellEase.Service.Services.Implementations.RentalService|Apartmentpages are not found |url: |action: |DwellEase.Service.Services.Implementations.RentalService.CheckAndUpdateApartmentStatus| body: 
2023-11-01 00:33:58.2350|0|ERROR|DwellEase.Service.Services.Implementations.RentalService|Apartmentpages are not found |url: |action: |DwellEase.Service.Services.Implementations.RentalService.CheckAndUpdateApartmentStatus| body: 
2023-11-01 00:34:28.2329|0|ERROR|DwellEase.Service.Services.Implementations.RentalService|Apartmentpages are not found |url: |action: |DwellEase.Service.Services.Implementations.RentalService.CheckAndUpdateApartmentStatus| body: 
2023-11-01 00:34:58.2383|0|ERROR|DwellEase.Service.Services.Implementations.RentalService|Apartmentpages are not found |url: |action: |DwellEase.Service.Services.Implementations.RentalService.CheckAndUpdateApartmentStatus| body: 
